2026-05-23 21:03:34 | INFO     | STARTUP      | [STARTUP] Vérification du modèle llama.cpp...
2026-05-23 21:03:34 | INFO     | STARTUP      | [STARTUP] Modèle llama.cpp trouvé : /home/sedai/SEDAI/src/models/google_gemma-3-4b-it-Q5_K_M.gguf
2026-05-23 21:03:34 | INFO     | STARTUP      | [STARTUP] Sous-système IA initialisé avec succès.
2026-05-23 21:03:34 | INFO     | SEDAI        | [SEDAI] Chargement du modèle GGUF en mémoire (peut prendre jusqu'à 5 min)...
2026-05-23 21:04:14 | INFO     | SEDAI        | [SEDAI] Modèle chargé avec succès.
2026-05-23 21:04:14 | INFO     | SEDAI        | [SEDAI] Pré-chauffage du cache IA (Prefix Caching)...
2026-05-23 21:05:58 | INFO     | SEDAI        | [SEDAI] Cache initialisé. Système prêt pour une réactivité maximale.
2026-05-23 21:05:58 | INFO     | SEDAI        | [SEDAI: 2/4] Création du pipeline transactionnel...
2026-05-23 21:05:58 | INFO     | SEDAI        | [SEDAI: 3/4] Instanciation et couplage modulaire...
2026-05-23 21:05:58 | INFO     | MEMORY       | [MEMORY] Historique chargé : 2 échanges trouvés.
2026-05-23 21:05:58 | INFO     | TTS          | [TTS] Restauration du volume matériel sur la carte 0...
2026-05-23 21:05:58 | INFO     | VOICE        | [VOICE] Chargement du modèle ASR depuis /home/sedai/SEDAI/src/models/vosk/vosk-model-fr-0.6-linto-2.2.0...
2026-05-23 21:06:29 | INFO     | VOICE        | [VOICE] Modèle Vosk chargé avec succès.
2026-05-23 21:06:29 | INFO     | WS           | [WS] Carte audio USB détectée à l'index 0.
2026-05-23 21:06:29 | INFO     | SEDAI        | [SEDAI: 4/4] Top-départ de l'orchestrateur (Daemonisation)...
2026-05-23 21:06:29 | INFO     | TTS          | [TTS] Démarrage du thread de synthèse vocale.
2026-05-23 21:06:29 | INFO     | VOICE        | [VOICE] Démarrage du thread de reconnaissance vocale (Vosk Asynchrone).
2026-05-23 21:06:29 | INFO     | OBD          | [OBD] Démarrage du thread d'acquisition (time-slicing v2.1).
2026-05-23 21:06:29 | INFO     | MONITOR      | [MONITOR] Démarrage du thread de surveillance.
2026-05-23 21:06:29 | INFO     | DIAGNOSTIC   | [DIAGNOSTIC] Démarrage du thread de diagnostic IA.
2026-05-23 21:06:29 | INFO     | WS           | [WS] Serveur prêt sur 0.0.0.0:8765
2026-05-23 21:06:29 | INFO     | SEDAI        | [SEDAI] Système Opérationnel. Lancement autonome achevé à 100%.
2026-05-23 21:06:29 | INFO     | OBD          | [OBD] Tentative de reconnexion dans 3s (essai #1)...
2026-05-23 21:06:29 | INFO     | WS           | [WS] Démarrage de la boucle de diffusion (broadcast).
2026-05-23 21:06:32 | INFO     | OBD          | [OBD] Aucun port série USB physique (/dev/ttyUSB* ou /dev/ttyACM*) détecté. Recherche suspendue. Veuillez brancher l'adaptateur ELM327.
2026-05-23 21:06:32 | INFO     | OBD          | [OBD] Tentative de reconnexion dans 6s (essai #2)...
2026-05-23 21:06:38 | INFO     | OBD          | [OBD] Aucun port série USB physique (/dev/ttyUSB* ou /dev/ttyACM*) détecté. Recherche suspendue. Veuillez brancher l'adaptateur ELM327.
2026-05-23 21:06:38 | INFO     | OBD          | [OBD] Tentative de reconnexion dans 12s (essai #3)...
